,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG,HF,Diversified PE,Diversified Debt
US_Equity,0.001721781,0.000881329,0.000989333,0.00088993,0.001762965,0.000603218,0.001168099,0.000819416,0.000718921,0.00129516,0.000466205,0.001353018,0.00136402,0.001028728,0.000715646,0.00136534,0.001522671,0.001326293,0.000780841,0.000533041,0.00035591,0.000404895,0.000491655,0.00045289,0.000617638,0.000466488,0.000591697,-8.59E-05,0.0001222,0.000146653,0.000316558,0.000276617,0.000256904,0.000460131,0.000230478,0.001052264,0.001401922,0.000474469,0.0008338,0.000319382
EU_Equity,0.000881329,0.001869956,0.001328669,0.000961751,0.00093441,0.000875727,0.001236228,0.001083879,0.000730214,0.001258564,0.000905951,0.001111037,0.001052924,0.001468791,0.001036649,0.001124475,0.001049743,0.000953203,0.000774588,0.000656907,0.000701938,0.000664692,0.000555015,0.000434783,0.000890017,0.00074614,0.000637965,-0.000453058,0.000480979,0.000610223,0.00054565,0.000128976,0.000730984,-0.000254501,0.000334632,0.001185702,0.000963846,0.000336474,0.000515304,0.000289626
Intl_Developed,0.000989333,0.001328669,0.001613547,0.001012068,0.001117851,0.000801947,0.001221485,0.001056032,0.000713342,0.001282474,0.000809655,0.001171414,0.001130455,0.001424508,0.000979461,0.001217173,0.00113417,0.001023704,0.000760654,0.000666059,0.000708856,0.00066363,0.000564877,0.000445186,0.000933126,0.00074453,0.000650338,-0.000420067,0.000472405,0.000592581,0.000549742,0.000138744,0.000641636,-0.000183471,0.000320806,0.001196168,0.001069284,0.000383068,0.000595766,0.000285207
EM_Equity,0.00088993,0.000961751,0.001012068,0.001748787,0.001270869,0.000477693,0.000870292,0.000816524,0.000591812,0.001002311,0.000398164,0.001074552,0.001184727,0.001223329,0.000828275,0.001065773,0.00092352,0.000854393,0.000498292,0.000660989,0.000542747,0.000594573,0.000517137,0.000356074,0.000749628,0.000512979,0.000606001,-0.000309841,0.000420506,0.000339677,0.000488236,0.000416693,0.000914723,0.000277528,0.000251418,0.000839996,0.000908732,0.000396952,0.000518888,0.0002488
Global_Tech,0.001762965,0.00093441,0.001117851,0.001270869,0.003617919,0.000410906,0.00105963,0.000783294,0.000316667,0.001454797,0.000266655,0.001608759,0.001836923,0.000946155,0.000691652,0.001464231,0.001921169,0.001649896,0.000724575,0.000683071,0.000422827,0.000490198,0.000610341,0.000523863,0.000824603,0.000558098,0.000682711,-0.000118658,0.000168451,6.10E-06,0.00030993,0.000222276,0.000382281,0.000513225,0.000231294,0.000982177,0.001749441,0.000574039,0.001108454,0.000403801
Global_Healthcare,0.000603218,0.000875727,0.000801947,0.000477693,0.000410906,0.001446848,0.000784555,0.000569651,0.000711008,0.00069728,0.000674362,0.00064089,0.000572425,0.001018139,0.000571469,0.000940783,0.000655042,0.000746415,0.000758636,0.000674512,0.000480829,0.000425172,0.000443104,0.000314015,0.000579847,0.000444984,0.000465088,-0.000253803,0.000282353,0.000470679,0.000362242,0.000143601,0.000367884,-0.000167648,0.000303922,0.000953891,0.000671739,0.000206134,0.000294465,0.000138216
Global_Financials,0.001168099,0.001236228,0.001221485,0.000870292,0.00105963,0.000784555,0.002022064,0.001128332,0.001188244,0.001417887,0.000766914,0.001264542,0.001189739,0.001369767,0.00098184,0.001488151,0.001330016,0.001155082,0.000910757,0.000536119,0.000488366,0.000510603,0.000512965,0.000467752,0.000659251,0.00059212,0.000651119,-0.000204921,0.000255103,0.000437296,0.000462378,0.000321946,0.000461192,0.000310036,0.000279525,0.001297554,0.001230126,0.000466454,0.000713396,0.000326232
Global_Infrastructure,0.000819416,0.001083879,0.001056032,0.000816524,0.000783294,0.000569651,0.001128332,0.001468957,0.000808298,0.001162124,0.000773717,0.000940906,0.000839846,0.001243221,0.00115991,0.001020628,0.000902364,0.000816234,0.000707917,0.000525853,0.000583803,0.000541771,0.000475878,0.000371726,0.000774098,0.000560039,0.000543468,-0.000301627,0.00037699,0.000491021,0.000496839,0.000204639,0.000647264,-0.000156992,0.000269911,0.001092869,0.000894579,0.000316808,0.000464634,0.000256494
Global Energy,0.000718921,0.000730214,0.000713342,0.000591812,0.000316667,0.000711008,0.001188244,0.000808298,0.003156669,0.000894113,0.000466212,0.000522972,0.000513787,0.001113798,0.000664694,0.001360489,0.000543739,0.000701715,0.000707874,0.000192019,2.35E-05,0.000192517,0.0002889,0.000315815,-0.000110324,0.000146965,0.000395103,7.61E-05,5.86E-05,-1.19E-05,0.000305528,0.001203832,0.000108794,0.00184966,0.000228669,0.000812487,0.000689213,0.000319465,0.000395259,0.000210814
Global Industrials,0.00129516,0.001258564,0.001282474,0.001002311,0.001454797,0.00069728,0.001417887,0.001162124,0.000894113,0.002023267,0.000764166,0.001387331,0.001266523,0.001413594,0.001103942,0.001439328,0.001518146,0.001267261,0.000885542,0.000598139,0.000578284,0.00057992,0.000556141,0.000499209,0.00087907,0.000660336,0.000677894,-0.000258991,0.00031382,0.00043008,0.000513463,0.000237612,0.000488125,0.000197638,0.000284876,0.001270421,0.001367078,0.000471375,0.000774861,0.000344924
