,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG,HF,Diversified PE,Diversified Debt
US_Equity,0.001907527,0.001069625,0.00112719,0.00080914,0.001808507,0.000718236,0.001381744,0.000992447,0.000761628,0.00151858,0.0007002,0.001593485,0.001430959,0.001185807,0.000817016,0.001447226,0.00173468,0.001519492,0.000967745,0.000585246,0.000422851,0.000440156,0.000555213,0.000535319,0.000731663,0.000532238,0.000660539,-9.38E-05,6.70E-05,0.000230602,0.000344414,0.000191529,3.02E-05,0.000359746,0.000265412,0.001322176,0.001592068,0.000463539,0.000919998,0.00036549
EU_Equity,0.001069625,0.002213039,0.001558553,0.001084462,0.001145427,0.000939024,0.001485685,0.001321103,0.000879172,0.001579616,0.001089295,0.001243505,0.001207645,0.001674427,0.001303564,0.001245568,0.001256039,0.00113278,0.000922789,0.000785566,0.0008078,0.000775542,0.00067025,0.000533936,0.001074054,0.000899689,0.000775723,-0.000496041,0.00051366,0.000676383,0.00062911,0.000207824,0.00065653,-5.74E-05,0.000393736,0.00140698,0.001160305,0.000362543,0.000650522,0.000364943
Intl_Developed,0.00112719,0.001558553,0.001837126,0.001064281,0.001239451,0.000839186,0.001428179,0.001275478,0.000779702,0.001565961,0.001002629,0.001313004,0.001200159,0.001595114,0.001221327,0.001271577,0.001314079,0.001169659,0.000901883,0.000780785,0.000799888,0.000742291,0.000662264,0.000529355,0.001114869,0.000847136,0.000756797,-0.000439943,0.000462101,0.000670575,0.000612731,0.000150594,0.000535091,-0.000113261,0.000363715,0.001416502,0.001230055,0.000380412,0.000681044,0.000344126
EM_Equity,0.00080914,0.001084462,0.001064281,0.001569292,0.000965031,0.000477511,0.000953389,0.000947054,0.000595211,0.001081552,0.00064263,0.001115808,0.001057175,0.001331616,0.000891398,0.000900088,0.000822147,0.00082361,0.000563295,0.000648442,0.000606413,0.000629319,0.000535697,0.000388548,0.000809733,0.000580613,0.000636462,-0.000339774,0.000381068,0.00044533,0.000514537,0.000340994,0.000570469,0.000208693,0.000279221,0.001030342,0.000870738,0.000294754,0.000501771,0.000265598
Global_Tech,0.001808507,0.001145427,0.001239451,0.000965031,0.003406121,0.000536612,0.001221859,0.000931813,0.000212374,0.001584593,0.000637452,0.001880434,0.00179601,0.001097861,0.000656692,0.001378283,0.002003515,0.001794673,0.000894811,0.000630735,0.000504654,0.000506081,0.000630883,0.000590407,0.000893601,0.000649961,0.000703006,-0.000156103,8.27E-05,0.00014746,0.000303486,-7.49E-05,-9.33E-05,8.42E-05,0.000269988,0.001323887,0.001869303,0.000483432,0.001168385,0.000441636
Global_Healthcare,0.000718236,0.000939024,0.000839186,0.000477511,0.000536612,0.001536875,0.000871089,0.0006476,0.00081241,0.000869768,0.000739708,0.000618728,0.000566838,0.0010354,0.000743688,0.000966654,0.000770742,0.000858759,0.000882007,0.000820331,0.000477538,0.000435423,0.00052458,0.000370948,0.000664937,0.000457164,0.000545072,-0.000190622,0.000208195,0.000440883,0.000367058,0.00025476,0.000219261,0.000136362,0.000337138,0.001058495,0.000782848,0.000190458,0.000353645,0.000173142
Global_Financials,0.001381744,0.001485685,0.001428179,0.000953389,0.001221859,0.000871089,0.002447121,0.001385008,0.00138965,0.001756178,0.000953796,0.001472876,0.001332017,0.00157487,0.001232825,0.001688398,0.001612749,0.001370441,0.001118073,0.000656343,0.000566125,0.000582748,0.000618082,0.00057084,0.000818227,0.000681148,0.000775226,-0.000207795,0.000235888,0.000512775,0.000532915,0.00038386,0.000399188,0.000451862,0.000320435,0.001563899,0.001464513,0.000509195,0.000836322,0.000395942
Global_Infrastructure,0.000992447,0.001321103,0.001275478,0.000947054,0.000931813,0.0006476,0.001385008,0.001834671,0.000981763,0.001456922,0.000971467,0.001104263,0.000976578,0.001482906,0.00146027,0.001187606,0.001096097,0.000984979,0.000875253,0.000647404,0.000716427,0.000658094,0.000586315,0.000462762,0.00097195,0.000691603,0.000666828,-0.000359037,0.000438481,0.000598066,0.00060432,0.000259555,0.000673125,-0.000121184,0.000326834,0.001343614,0.001087252,0.000356458,0.000569843,0.000318157
Global Energy,0.000761628,0.000879172,0.000779702,0.000595211,0.000212374,0.00081241,0.00138965,0.000981763,0.003784284,0.001064769,0.000597615,0.000558748,0.000421499,0.001268412,0.000837869,0.001503597,0.000613139,0.000773625,0.00087526,0.000243145,-1.03E-05,0.000173586,0.000333649,0.000370075,-0.000134286,7.83E-05,0.000431426,0.000136239,-1.54E-05,-2.11E-05,0.000337152,0.001454228,5.18E-05,0.002237844,0.000250311,0.000948818,0.000742067,0.000306085,0.00036462,0.000235197
Global Industrials,0.00151858,0.001579616,0.001565961,0.001081552,0.001584593,0.000869768,0.001756178,0.001456922,0.001064769,0.002486076,0.001048692,0.001696677,0.001439712,0.001742256,0.001347874,0.00167133,0.001809639,0.001518373,0.0011167,0.000700917,0.000724716,0.000699969,0.000666908,0.000613874,0.001085812,0.000817095,0.000812394,-0.000326897,0.000354286,0.000581435,0.000624017,0.000205713,0.000433678,0.00011482,0.000350457,0.001622026,0.001631777,0.000519662,0.00091118,0.000416788
Global Consumer Staples,0.0007002,0.001089295,0.001002629,0.00064263,0.000637452,0.000739708,0.000953796,0.000971467,0.000597615,0.001048692,0.00122533,0.000745762,0.000626963,0.001102547,0.001089773,0.000862223,0.000830642,0.000759946,0.000782169,0.000695853,0.000631894,0.00052537,0.000501843,0.000354871,0.000873666,0.000561311,0.000538355,-0.000290671,0.000345283,0.000585064,0.000473278,9.30E-05,0.000432329,-0.000390897,0.000321041,0.001070971,0.000781941,0.000206751,0.000377281,0.000199276
Global Consumer Discretionary,0.001593485,0.001243505,0.001313004,0.001115808,0.001880434,0.000618728,0.001472876,0.001104263,0.000558748,0.001696677,0.000745762,0.002652689,0.001657564,0.001452189,0.000855253,0.001502787,0.001739087,0.001568539,0.000919471,0.000737821,0.000608259,0.000610871,0.000668122,0.000612546,0.001015934,0.000645207,0.0007932,-0.000233648,0.000136567,0.000397071,0.000406961,6.95E-05,9.27E-05,0.000122551,0.000308581,0.001443516,0.001696252,0.000534103,0.000935606,0.000403423
