Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
-0.758381786,2.174314941,2.768000513,-5.190827274,-15.14631497,-0.516787144,1.563623352,-3.831341809,-2.276396649,-1.918043052,-2.209977303,7.435475484,3.032911574,-1.382348199,0.712405835,2.036580908,3.225179234,1.542932069,2.562206759,-3.177954978,-0.76964023,-1.714907269,-0.518225924,0.682352685,2.715087789,-1.6638394
-1.298388634,-1.585030144,-1.701806743,0.375655808,-11.22683224,-0.82850524,-2.192017894,0.589637965,0.390604246,2.026867234,1.13293211,-4.298491682,-2.482635489,-1.006334318,-0.648923915,-1.453122977,-1.686453993,-1.854557099,0.114570196,4.458377557,4.009628143,1.486881362,0.450252571,-0.483860445,1.924395361,0.840993615
-4.569181302,-5.37676708,-4.969584271,-2.617045097,-0.293816779,-5.067388789,-4.60174798,-1.078490266,-3.089192435,-1.844441227,-2.47518723,-2.656187851,-4.803567689,-3.991850966,-5.187898892,-5.02212883,-4.75233272,-4.882872281,-4.430126849,-4.997709744,-1.815370808,-1.635527206,-2.879147968,-4.643229185,-3.028218035,-2.990935061
1.146274729,0.167735037,0.097155747,0.718077546,-14.87976797,0.371154084,-0.823745801,0.037457473,-2.600971075,1.252395396,2.44059429,-3.244404223,-1.05066784,1.459681335,0.696233667,0.596916606,0.455525903,0.186796301,-0.681856699,0.62140932,1.401462607,1.372863991,2.497465221,0.684736123,-1.025454689,3.687285452
-0.712952616,-2.717814208,-2.583660689,-0.1890622,-18.10815705,-1.244606916,0.369715986,4.892266921,2.768384783,0.403125145,0.839177304,1.115862372,-2.187647695,-0.406581289,-0.642543395,-2.424951379,-2.173856806,-2.273325338,-2.067330494,0.729558421,-1.675871161,1.515834269,0.398409691,-0.520163319,-2.778612954,0.325771778
-0.065571243,2.04373829,2.394144167,-2.818694326,28.97033112,0.844389538,1.617355029,-5.962970081,-8.586722164,-2.477736299,-1.063492266,4.902559027,2.239676669,-0.368034229,-0.081875938,2.318244792,2.590796654,2.031039804,1.251681612,-1.909355976,-2.161917195,-2.816908013,1.012632362,0.73822231,1.178808829,0.345046145
0.63668987,3.67334095,4.515791691,-3.267235732,-7.186052317,2.632602334,1.681418195,-0.905877418,-2.924999266,-5.140249851,-4.841654753,2.28170151,3.532185215,-0.466271802,1.645045647,3.746785478,3.90699326,3.911717391,-1.232909595,-8.47239001,-5.715557446,-5.542402927,-0.762340894,2.021501273,-5.445067819,-5.304444235
-6.23783225,1.276126022,2.665123637,-18.53551246,-29.26314276,-7.821738653,-13.02841477,-13.9686558,-14.30016749,-12.01317679,-11.20524542,3.193235697,4.234060277,-7.617901661,-7.377299591,-19.26541098,-3.441238106,0.166612056,-8.505099851,-16.9813761,-3.785661704,-13.57529541,-5.518249446,-6.27391898,-24.42188521,-10.11905477
3.058280633,1.374076777,0.313670047,6.379101711,31.26797269,0.804473379,2.918910482,5.705130782,-3.222794317,4.263263111,7.984190018,5.282176905,-0.694317536,3.919961589,3.391460028,3.737024077,2.717250239,-2.772407669,3.839534606,9.0732316,3.295722094,3.981210795,6.291220012,1.942911768,4.735706263,10.56321608
4.365260435,1.845831046,2.683707598,3.341252357,11.84765245,4.345723461,8.097473662,4.944639542,7.23484569,7.297913993,6.980813275,4.586815952,1.742184174,4.618424759,4.924924055,7.779957098,4.182704765,5.708677002,3.146691897,6.447149607,8.827386596,7.238993271,6.290197772,5.929764982,2.747180258,6.667648372
