Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
0.069245734,3.00194246,3.595628032,-4.363199755,-14.31868745,0.310840375,2.391250872,-3.00371429,-1.44876913,-1.090415533,-1.382349783,8.263103003,3.860539094,-0.55472068,1.540033354,2.864208427,4.052806754,2.370559589,3.389834278,-2.350327459,0.057987289,-0.88727975,0.309401595,1.509980204,3.542715308,-0.836211881
0.548431886,0.261790376,0.145013777,2.222476327,-9.380011723,1.01831528,-0.345197375,2.436458484,2.237424765,3.873687754,2.97975263,-2.451671163,-0.635814969,0.840486202,1.197896605,0.393697543,0.160366527,-0.00773658,1.961390716,6.305198076,5.856448662,3.333701881,2.29707309,1.362960074,3.77121588,2.687814135
-1.68663418,-2.494219958,-2.087037149,0.265502025,2.588730343,-2.184841667,-1.719200857,1.804056857,-0.206645313,1.038105895,0.407359892,0.226359271,-1.921020567,-1.109303844,-2.30535177,-2.139581708,-1.869785598,-2.000325159,-1.547579727,-2.115162622,1.067176315,1.247019916,0.003399154,-1.760682063,-0.145670913,-0.108387939
2.223688602,1.24514891,1.17456962,1.795491419,-13.80235409,1.448567957,0.253668072,1.114871345,-1.523557202,2.329809269,3.518008163,-2.16699035,0.026746033,2.537095208,1.77364754,1.674330479,1.532939776,1.264210173,0.395557174,1.698823192,2.47887648,2.450277864,3.574879094,1.762149996,0.051959184,4.764699325
0.068924783,-1.935936808,-1.80178329,0.5928152,-17.32627965,-0.462729516,1.151593386,5.67414432,3.550262182,1.185002544,1.621054704,1.897739771,-1.405770296,0.37529611,0.139334004,-1.64307398,-1.391979406,-1.491447939,-1.285453094,1.511435821,-0.893993762,2.297711669,1.180287091,0.261714081,-1.996735554,1.107649177
0.624938524,2.734248058,3.084653935,-2.128184558,29.66084089,1.534899306,2.307864797,-5.272460313,-7.896212396,-1.787226531,-0.372982498,5.593068795,2.930186437,0.322475539,0.60863383,3.00875456,3.281306422,2.721549572,1.94219138,-1.218846209,-1.471407427,-2.126398245,1.70314213,1.428732078,1.869318597,1.035555913
-1.700578101,1.336072979,2.178523721,-5.604503703,-9.523320287,0.295334364,-0.655849775,-3.243145388,-5.262267236,-7.477517822,-7.178922723,-0.05556646,1.194917244,-2.803539773,-0.692222324,1.409517507,1.569725289,1.57444942,-3.570177566,-10.80965798,-8.052825417,-7.879670898,-3.099608865,-0.315766698,-7.782335789,-7.641712206
-9.476405029,-1.962446757,-0.573449142,-21.77408524,-32.50171554,-11.06031143,-16.26698755,-17.20722858,-17.53874027,-15.25174957,-14.4438182,-0.045337082,0.995487498,-10.85647444,-10.61587237,-22.50398376,-6.679810885,-3.071960723,-11.74367263,-20.21994888,-7.024234483,-16.81386819,-8.756822225,-9.512491759,-27.66045799,-13.35762755
5.140875783,3.456671927,2.396265197,8.461696861,33.35056784,2.887068529,5.001505632,7.787725932,-1.140199166,6.345858261,10.06678517,7.364772055,1.388277614,6.002556739,5.474055178,5.819619227,4.799845389,-0.689812519,5.922129756,11.15582675,5.378317244,6.063805945,8.373815162,4.025506918,6.818301413,12.64581123
1.028197374,-1.491232015,-0.653355462,0.004189296,8.510589388,1.0086604,4.760410601,1.607576481,3.897782629,3.960850932,3.643750214,1.249752891,-1.594878887,1.281361698,1.587860994,4.442894037,0.845641704,2.371613941,-0.190371164,3.110086547,5.490323535,3.90193021,2.953134711,2.592701921,-0.589882803,3.330585311
0.789292754,-0.777615464,-0.534290841,6.991394418,-13.74708819,1.473223119,1.740149902,5.210981172,1.634242391,2.253839254,1.701618378,1.553833268,-0.631806214,0.163337737,-1.779568825,1.751550132,0.896862328,-0.827710563,0.278184898,0.029887143,-1.280690213,2.840099607,1.832565027,-0.053326746,1.432572209,0.569531848
-1.802099273,-3.6464383,-3.404675051,-3.206289037,24.10440454,-3.190738837,-0.945200409,3.200372032,2.401360609,-2.808839754,0.490644238,5.71298115,-1.716838942,-1.663825487,0.206960769,-2.357245208,-1.902683979,-3.293381354,-2.357196379,-2.438948537,-5.8089512,-1.537740841,-0.099546054,-0.641397247,-1.570445878,0.993477688
1.0097856,-2.143273263,-2.159344307,3.714984615,4.096743156,0.057724623,-0.61076714,1.514031337,6.259567522,3.281337504,4.518369197,-1.810908128,-2.077110763,1.264463463,-1.355548535,-1.561898661,-2.595639186,-1.922603195,-1.122786086,1.994914304,5.238558055,2.500946989,3.303017322,-0.201580711,0.095705575,5.414287801
0.883342372,2.018801515,1.720176339,-2.711021815,-19.15682726,2.405960188,-0.287133007,0.802225399,-2.698874681,-0.25032295,-1.177538694,-2.42668911,1.817693872,0.392070988,0.879153327,1.539788071,1.524013052,1.942206323,0.31648186,-0.401724006,3.611233363,-1.656834811,0.188741185,1.332782073,-1.113921096,-1.993861734
0.803202526,0.982147844,0.07298979,-0.183187727,34.42371802,0.972770169,0.175721352,2.029771313,2.514913845,-2.981892464,-1.619060445,0.075936211,0.439739564,0.748477561,1.034939399,0.396185858,0.288894305,0.111688588,-1.28493508,5.188009248,-0.781728266,-4.891563969,0.1226651,1.353118281,-2.506246612,-1.891623912
3.319117897,-1.889324435,-1.176320462,10.54179869,38.70479955,1.054870222,1.756807093,6.234159156,1.7690402,10.96327935,8.743583833,-7.773014375,-1.219528597,3.240122033,0.919722411,0.366536976,0.501073676,-0.76441981,3.111079996,9.085791815,7.662981134,12.71072094,5.272538025,1.116632959,9.63141831,7.950141443
2.093592846,-2.160566129,-2.307700439,3.182356928,29.7922007,0.04580565,-0.263592175,4.497742512,3.289435383,2.499603723,2.188728761,4.335834269,-1.062094854,1.920888103,-0.45615471,-0.703594355,-2.075750567,-1.721788678,-0.797006081,3.056974484,2.802680098,2.303516725,1.242302028,-0.535963372,1.656680311,1.245374203
1.869650567,0.111085002,-0.090313097,0.803155775,8.728588405,2.313241417,-1.136189972,3.781692628,3.493142086,-0.127285159,0.347915311,-2.594377497,-0.971557237,-0.286891391,0.278306324,2.683804107,-0.576949755,0.99775148,0.717014594,-0.280993151,-0.190236623,-0.793334572,1.481008562,1.298613051,0.238266987,-0.367235171
4.108163385,-1.444035503,-1.026060245,3.746547673,22.44280343,2.601744889,-2.592410637,1.288656996,7.902018519,2.717111141,2.766913933,-6.029755701,-2.222897359,4.338392993,0.258052282,-1.178021148,-1.369504988,-1.065689679,2.228939591,6.449479322,2.323351467,3.363330206,2.195823238,1.094721483,4.493741062,3.24650866
3.695570652,2.774626682,1.745630706,4.322332549,17.59696984,3.566519163,2.165491882,2.170256579,0.394446038,5.380862901,5.712542718,1.797825653,1.379460658,2.786838085,4.102865081,4.147741263,1.571818717,3.464947779,6.213213547,12.61647001,3.337539612,6.217557072,4.603099843,3.432414183,6.527298481,7.339190702
-0.256293209,-2.123355579,-1.713200509,1.097788843,-9.02939425,-1.288903063,-0.07013453,-1.249517779,6.87338678,0.467448732,1.716036672,1.122032208,-1.517049636,0.576982067,-1.807862992,-1.280006661,-1.379721277,-1.683919077,2.389159384,0.739863552,-4.060622303,1.957940355,0.890226179,-1.222430499,4.200319206,2.713596785
-0.297456768,-1.513108209,-1.504325682,1.134171032,-45.55218265,-0.70253562,-0.748026611,-0.072153676,1.326516431,1.715541564,-0.246276808,5.614268364,-1.005707324,-1.106609985,-1.668656739,-0.681371639,-1.31239067,-1.362654376,-1.149031376,-0.539812923,-0.00154322,2.798968283,-0.739004996,-1.15228123,-0.539150703,-1.053015434
3.602934815,3.522297578,3.888859458,0.748629702,1.698380042,3.632769235,3.919273007,4.006495779,4.657903415,1.976582382,4.314007217,-4.227677066,2.290379861,3.94770582,4.379294669,4.106221601,4.790769489,3.411843261,4.828731105,0.861695467,2.267631903,1.647070939,5.454689877,4.521372821,4.448247918,5.286778519
-1.015312125,0.947634681,1.008889905,-1.36612354,15.18924396,-0.421659429,0.455561171,-6.754653626,2.224538733,0.669208797,0.803925507,2.38909809,1.547636234,-0.663225041,0.002449987,0.568506479,1.178303685,0.357341005,2.572783385,1.305346027,-0.739841657,1.481021126,1.071342078,0.529502887,3.929087619,2.31078142
1.27235215,0.306347602,0.314063405,0.632666611,8.891952656,1.103491916,1.409802304,2.072802152,-0.350581718,1.951580457,2.666058463,0.428377899,0.034160335,1.295112561,1.122786207,0.231363092,0.29212692,0.32020556,1.895653698,2.369438332,2.419204339,1.945389823,2.863457551,1.300762167,2.062444203,3.447792427
1.717959586,0.942476512,1.037088369,-2.706792461,-8.999368635,2.257798945,-0.716065049,-1.992069657,7.764627322,-1.357531338,-2.360658418,-1.339081251,-0.3544089,0.663892288,1.587290851,0.618381795,0.652844611,1.250872032,-1.552669664,-4.163165257,4.626998,-3.292839697,0.205946529,2.334071944,-4.116983074,-2.811234879
