Tier4,Weight,Portfolio Name
AlTi Onshore - Real Estate Composite,0.0400,AlTi Onshore Growth Endowment I Taxable
Artisan International Value Advisor,0.0800,AlTi Onshore Growth Endowment I Taxable
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore Growth Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore Growth Endowment I Taxable
Energy Infrastructure & Utility Fund QP Perf,0.0300,AlTi Onshore Growth Endowment I Taxable
Fidelity Inv MM Treasury Instl,0.0050,AlTi Onshore Growth Endowment I Taxable
Global Alpha Fund Perf,0.1400,AlTi Onshore Growth Endowment I Taxable
GQG Partners Emerging Markets EquityInst,0.0500,AlTi Onshore Growth Endowment I Taxable
Hybrid Equity Fund Composite,0.0300,AlTi Onshore Growth Endowment I Taxable
Multi-Strategy Fund Perf,0.0800,AlTi Onshore Growth Endowment I Taxable
Municipal High Income Fund,0.0200,AlTi Onshore Growth Endowment I Taxable
Parametric TL Harvesting - S&P 1500,0.2500,AlTi Onshore Growth Endowment I Taxable
PIMCO Municipal Ladder Composite,0.0500,AlTi Onshore Growth Endowment I Taxable
Vanguard Interm-Term Treasury Adm,0.0200,AlTi Onshore Growth Endowment I Taxable
AlTi Onshore - PE Composite,0.1500,AlTi Onshore Growth Endowment I Tax-Exempt
AlTi Onshore - Private Credit Composite,0.0400,AlTi Onshore Growth Endowment I Tax-Exempt
AlTi Onshore - Real Estate Composite,0.0400,AlTi Onshore Growth Endowment I Tax-Exempt
Artisan International Value Advisor,0.1000,AlTi Onshore Growth Endowment I Tax-Exempt
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore Growth Endowment I Tax-Exempt
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore Growth Endowment I Tax-Exempt
Fidelity Inv MM Treasury Instl,0.0100,AlTi Onshore Growth Endowment I Tax-Exempt
FT Energy Income Partners Strategy ETF,0.0350,AlTi Onshore Growth Endowment I Tax-Exempt
GQG Partners Emerging Markets EquityInst,0.0450,AlTi Onshore Growth Endowment I Tax-Exempt
GQG Partners Global Quality Equity Instl,0.0800,AlTi Onshore Growth Endowment I Tax-Exempt
iShares 0-5 Year TIPS Bond ETF,0.0150,AlTi Onshore Growth Endowment I Tax-Exempt
iShares Core S&P Total US Stock Mkt ETF,0.2350,AlTi Onshore Growth Endowment I Tax-Exempt
Multi-Strategy Fund Perf,0.0900,AlTi Onshore Growth Endowment I Tax-Exempt
PRIMECAP Odyssey Aggressive Growth,0.0550,AlTi Onshore Growth Endowment I Tax-Exempt
Vanguard Total Bond Market Index I,0.0550,AlTi Onshore Growth Endowment I Tax-Exempt
AlTi Onshore - Impact PE Composite,0.1500,AlTi Onshore Growth Impact Endowment I Taxable
Avanath Affordable Housing Renaissance Fund LP,0.0400,AlTi Onshore Growth Impact Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0400,AlTi Onshore Growth Impact Endowment I Taxable
BTG Timber OEF Proforma,0.0400,AlTi Onshore Growth Impact Endowment I Taxable
Fidelity Inv MM Treasury Instl,0.0250,AlTi Onshore Growth Impact Endowment I Taxable
Fundsmith Sustainable Equity Fund (IWEF),0.0650,AlTi Onshore Growth Impact Endowment I Taxable
Greenbacker GREC-2,0.0400,AlTi Onshore Growth Impact Endowment I Taxable
Impact World Equity Fund Perf,0.0700,AlTi Onshore Growth Impact Endowment I Taxable
iShares Paris-Algnd Clmt Optd MSCIUSAETF,0.0500,AlTi Onshore Growth Impact Endowment I Taxable
iSharesParis-AlgndClmOptdMSCIWldexUSAETF,0.0300,AlTi Onshore Growth Impact Endowment I Taxable
Matthews Emerging Markets Sust Fut Inst,0.0400,AlTi Onshore Growth Impact Endowment I Taxable
Parametric TL U.S. 1500 ESG Screened,0.1300,AlTi Onshore Growth Impact Endowment I Taxable
PIMCO Municipal Social Advancement,0.1150,AlTi Onshore Growth Impact Endowment I Taxable
ValueAct Capital Partners II LP,0.0600,AlTi Onshore Growth Impact Endowment I Taxable
Vanguard Global ESG Select Stk Admiral,0.1050,AlTi Onshore Growth Impact Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0500,AlTi Onshore Growth Impact Taxable No Illiquids
BTG Timber OEF Proforma,0.0500,AlTi Onshore Growth Impact Taxable No Illiquids
Fidelity Inv MM Treasury Instl,0.0250,AlTi Onshore Growth Impact Taxable No Illiquids
Fundsmith Sustainable Equity Fund (IWEF),0.0800,AlTi Onshore Growth Impact Taxable No Illiquids
Greenbacker GREC-2,0.0500,AlTi Onshore Growth Impact Taxable No Illiquids
Impact World Equity Fund Perf,0.0950,AlTi Onshore Growth Impact Taxable No Illiquids
iShares Paris-Algnd Clmt Optd MSCIUSAETF,0.0700,AlTi Onshore Growth Impact Taxable No Illiquids
iSharesParis-AlgndClmOptdMSCIWldexUSAETF,0.0400,AlTi Onshore Growth Impact Taxable No Illiquids
Matthews Emerging Markets Sust Fut Inst,0.0550,AlTi Onshore Growth Impact Taxable No Illiquids
Parametric TL U.S. 1500 ESG Screened,0.1650,AlTi Onshore Growth Impact Taxable No Illiquids
PIMCO Municipal Social Advancement,0.1250,AlTi Onshore Growth Impact Taxable No Illiquids
ValueAct Capital Partners II LP,0.0700,AlTi Onshore Growth Impact Taxable No Illiquids
Vanguard Global ESG Select Stk Admiral,0.1250,AlTi Onshore Growth Impact Taxable No Illiquids
AlTi Onshore - Private Credit Composite,0.0500,AlTi Onshore Growth Quasi-Endowment
Artisan International Value Advisor,0.1000,AlTi Onshore Growth Quasi-Endowment
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore Growth Quasi-Endowment
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore Growth Quasi-Endowment
Energy Infrastructure & Utility Fund QP Perf,0.0400,AlTi Onshore Growth Quasi-Endowment
Fidelity Inv MM Treasury Instl,0.0050,AlTi Onshore Growth Quasi-Endowment
Global Alpha Fund Perf,0.1700,AlTi Onshore Growth Quasi-Endowment
GQG Partners Emerging Markets EquityInst,0.0550,AlTi Onshore Growth Quasi-Endowment
Multi-Strategy Fund Perf,0.1000,AlTi Onshore Growth Quasi-Endowment
Municipal High Income Fund,0.0250,AlTi Onshore Growth Quasi-Endowment
Parametric TL Harvesting - S&P 1500,0.3350,AlTi Onshore Growth Quasi-Endowment
PIMCO Municipal Ladder Composite,0.0500,AlTi Onshore Growth Quasi-Endowment
Vanguard Interm-Term Treasury Adm,0.0200,AlTi Onshore Growth Quasi-Endowment
Artisan International Value Advisor,0.1350,AlTi Onshore Growth Traditional Taxable
Fidelity Inv MM Treasury Instl,0.0400,AlTi Onshore Growth Traditional Taxable
FT Energy Income Partners Strategy ETF,0.0450,AlTi Onshore Growth Traditional Taxable
GQG Partners Emerging Markets EquityInst,0.0600,AlTi Onshore Growth Traditional Taxable
GQG Partners Global Quality Equity Instl,0.1000,AlTi Onshore Growth Traditional Taxable
iShares Core S&P Total US Stock Mkt ETF,0.2900,AlTi Onshore Growth Traditional Taxable
PIMCO Income Instl,0.0550,AlTi Onshore Growth Traditional Taxable
PRIMECAP Odyssey Aggressive Growth,0.0700,AlTi Onshore Growth Traditional Taxable
Vanguard Interm-Term Treasury Adm,0.0450,AlTi Onshore Growth Traditional Taxable
Vanguard Interm-Term Tx-Ex Adm,0.1600,AlTi Onshore Growth Traditional Taxable
AlTi Onshore - Private Credit Composite,0.0700,AlTi Onshore Growth Traditional Taxable + 1099
Artisan International Value Advisor,0.1350,AlTi Onshore Growth Traditional Taxable + 1099
Brookfield Infrastructure Income Fund Inc.,0.0300,AlTi Onshore Growth Traditional Taxable + 1099
Fidelity Inv MM Treasury Instl,0.0400,AlTi Onshore Growth Traditional Taxable + 1099
FT Energy Income Partners Strategy ETF,0.0450,AlTi Onshore Growth Traditional Taxable + 1099
GQG Partners Emerging Markets EquityInst,0.0600,AlTi Onshore Growth Traditional Taxable + 1099
GQG Partners Global Quality Equity Instl,0.1000,AlTi Onshore Growth Traditional Taxable + 1099
iShares Core S&P Total US Stock Mkt ETF,0.2900,AlTi Onshore Growth Traditional Taxable + 1099
PRIMECAP Odyssey Aggressive Growth,0.0700,AlTi Onshore Growth Traditional Taxable + 1099
Vanguard Interm-Term Treasury Adm,0.0300,AlTi Onshore Growth Traditional Taxable + 1099
Vanguard Interm-Term Tx-Ex Adm,0.1300,AlTi Onshore Growth Traditional Taxable + 1099
Artisan International Value Advisor,0.1350,AlTi Onshore Growth Traditional Tax-Exempt
Fidelity Inv MM Treasury Instl,0.0400,AlTi Onshore Growth Traditional Tax-Exempt
FT Energy Income Partners Strategy ETF,0.0450,AlTi Onshore Growth Traditional Tax-Exempt
GQG Partners Emerging Markets EquityInst,0.0600,AlTi Onshore Growth Traditional Tax-Exempt
GQG Partners Global Quality Equity Instl,0.1000,AlTi Onshore Growth Traditional Tax-Exempt
iShares Core S&P Total US Stock Mkt ETF,0.2900,AlTi Onshore Growth Traditional Tax-Exempt
PIMCO Income Instl,0.0550,AlTi Onshore Growth Traditional Tax-Exempt
PRIMECAP Odyssey Aggressive Growth,0.0700,AlTi Onshore Growth Traditional Tax-Exempt
Vanguard Interm-Term Treasury Adm,0.0900,AlTi Onshore Growth Traditional Tax-Exempt
Vanguard Total Bond Market Index I,0.1150,AlTi Onshore Growth Traditional Tax-Exempt
AlTi Onshore - PE Composite,0.1200,AlTi Onshore LT Growth Endowment I Taxable
AlTi Onshore - Private Credit Composite,0.0350,AlTi Onshore LT Growth Endowment I Taxable
AlTi Onshore - Real Estate Composite,0.0350,AlTi Onshore LT Growth Endowment I Taxable
Artisan International Value Advisor,0.0900,AlTi Onshore LT Growth Endowment I Taxable
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore LT Growth Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore LT Growth Endowment I Taxable
Energy Infrastructure & Utility Fund QP Perf,0.0350,AlTi Onshore LT Growth Endowment I Taxable
Fidelity Inv MM Treasury Instl,0.0050,AlTi Onshore LT Growth Endowment I Taxable
Global Alpha Fund Perf,0.1650,AlTi Onshore LT Growth Endowment I Taxable
GQG Partners Emerging Markets EquityInst,0.0600,AlTi Onshore LT Growth Endowment I Taxable
Hybrid Equity Fund Composite,0.0300,AlTi Onshore LT Growth Endowment I Taxable
Multi-Strategy Fund Perf,0.0550,AlTi Onshore LT Growth Endowment I Taxable
Parametric TL Harvesting - S&P 1500,0.3000,AlTi Onshore LT Growth Endowment I Taxable
PIMCO Municipal Ladder Composite,0.0200,AlTi Onshore LT Growth Endowment I Taxable
AlTi Onshore - PE Composite,0.1500,AlTi Onshore LT Growth Endowment I Tax-Exempt
AlTi Onshore - Private Credit Composite,0.0400,AlTi Onshore LT Growth Endowment I Tax-Exempt
AlTi Onshore - Real Estate Composite,0.0250,AlTi Onshore LT Growth Endowment I Tax-Exempt
Artisan International Value Advisor,0.1250,AlTi Onshore LT Growth Endowment I Tax-Exempt
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore LT Growth Endowment I Tax-Exempt
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore LT Growth Endowment I Tax-Exempt
Fidelity Inv MM Treasury Instl,0.0100,AlTi Onshore LT Growth Endowment I Tax-Exempt
FT Energy Income Partners Strategy ETF,0.0400,AlTi Onshore LT Growth Endowment I Tax-Exempt
GQG Partners Emerging Markets EquityInst,0.0500,AlTi Onshore LT Growth Endowment I Tax-Exempt
GQG Partners Global Quality Equity Instl,0.0950,AlTi Onshore LT Growth Endowment I Tax-Exempt
iShares Core S&P Total US Stock Mkt ETF,0.2750,AlTi Onshore LT Growth Endowment I Tax-Exempt
Multi-Strategy Fund Perf,0.0550,AlTi Onshore LT Growth Endowment I Tax-Exempt
PRIMECAP Odyssey Aggressive Growth,0.0650,AlTi Onshore LT Growth Endowment I Tax-Exempt
Vanguard Total Bond Market Index I,0.0200,AlTi Onshore LT Growth Endowment I Tax-Exempt
AlTi Onshore - Impact PE Composite,0.1500,AlTi Onshore LT Growth Impact Endowment I Taxable
Avanath Affordable Housing Renaissance Fund LP,0.0400,AlTi Onshore LT Growth Impact Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0400,AlTi Onshore LT Growth Impact Endowment I Taxable
BTG Timber OEF Proforma,0.0400,AlTi Onshore LT Growth Impact Endowment I Taxable
Fidelity Inv MM Treasury Instl,0.0200,AlTi Onshore LT Growth Impact Endowment I Taxable
Fundsmith Sustainable Equity Fund (IWEF),0.0750,AlTi Onshore LT Growth Impact Endowment I Taxable
Greenbacker GREC-2,0.0400,AlTi Onshore LT Growth Impact Endowment I Taxable
Impact World Equity Fund Perf,0.0800,AlTi Onshore LT Growth Impact Endowment I Taxable
iShares Paris-Algnd Clmt Optd MSCIUSAETF,0.0600,AlTi Onshore LT Growth Impact Endowment I Taxable
iSharesParis-AlgndClmOptdMSCIWldexUSAETF,0.0350,AlTi Onshore LT Growth Impact Endowment I Taxable
Matthews Emerging Markets Sust Fut Inst,0.0400,AlTi Onshore LT Growth Impact Endowment I Taxable
Parametric TL U.S. 1500 ESG Screened,0.1650,AlTi Onshore LT Growth Impact Endowment I Taxable
PIMCO Municipal Social Advancement,0.0200,AlTi Onshore LT Growth Impact Endowment I Taxable
ValueAct Capital Partners II LP,0.0700,AlTi Onshore LT Growth Impact Endowment I Taxable
Vanguard Global ESG Select Stk Admiral,0.1250,AlTi Onshore LT Growth Impact Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0500,AlTi Onshore LT Growth Impact No Illiquids
BTG Timber OEF Proforma,0.0500,AlTi Onshore LT Growth Impact No Illiquids
Fidelity Inv MM Treasury Instl,0.0200,AlTi Onshore LT Growth Impact No Illiquids
Fundsmith Sustainable Equity Fund (IWEF),0.0900,AlTi Onshore LT Growth Impact No Illiquids
Greenbacker GREC-2,0.0500,AlTi Onshore LT Growth Impact No Illiquids
Impact World Equity Fund Perf,0.1050,AlTi Onshore LT Growth Impact No Illiquids
iShares Paris-Algnd Clmt Optd MSCIUSAETF,0.0800,AlTi Onshore LT Growth Impact No Illiquids
iSharesParis-AlgndClmOptdMSCIWldexUSAETF,0.0450,AlTi Onshore LT Growth Impact No Illiquids
Matthews Emerging Markets Sust Fut Inst,0.0600,AlTi Onshore LT Growth Impact No Illiquids
Parametric TL U.S. 1500 ESG Screened,0.1950,AlTi Onshore LT Growth Impact No Illiquids
PIMCO Municipal Social Advancement,0.0300,AlTi Onshore LT Growth Impact No Illiquids
ValueAct Capital Partners II LP,0.0800,AlTi Onshore LT Growth Impact No Illiquids
Vanguard Global ESG Select Stk Admiral,0.1450,AlTi Onshore LT Growth Impact No Illiquids
AlTi Onshore - Private Credit Composite,0.0450,AlTi Onshore LT Growth Quasi-Endowment
Artisan International Value Advisor,0.1100,AlTi Onshore LT Growth Quasi-Endowment
Blackstone Infrastructure Strategies (BXINFRA),0.0300,AlTi Onshore LT Growth Quasi-Endowment
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore LT Growth Quasi-Endowment
Energy Infrastructure & Utility Fund QP Perf,0.0450,AlTi Onshore LT Growth Quasi-Endowment
Fidelity Inv MM Treasury Instl,0.0050,AlTi Onshore LT Growth Quasi-Endowment
Global Alpha Fund Perf,0.2000,AlTi Onshore LT Growth Quasi-Endowment
GQG Partners Emerging Markets EquityInst,0.0650,AlTi Onshore LT Growth Quasi-Endowment
Multi-Strategy Fund Perf,0.0750,AlTi Onshore LT Growth Quasi-Endowment
Parametric TL Harvesting - S&P 1500,0.3800,AlTi Onshore LT Growth Quasi-Endowment
PIMCO Municipal Ladder Composite,0.0200,AlTi Onshore LT Growth Quasi-Endowment
Artisan International Value Advisor,0.1550,AlTi Onshore LT Growth Traditional Taxable
Fidelity Inv MM Treasury Instl,0.0500,AlTi Onshore LT Growth Traditional Taxable
FT Energy Income Partners Strategy ETF,0.0500,AlTi Onshore LT Growth Traditional Taxable
GQG Partners Emerging Markets EquityInst,0.0650,AlTi Onshore LT Growth Traditional Taxable
GQG Partners Global Quality Equity Instl,0.1150,AlTi Onshore LT Growth Traditional Taxable
iShares Core S&P Total US Stock Mkt ETF,0.3350,AlTi Onshore LT Growth Traditional Taxable
PIMCO Income Instl,0.0200,AlTi Onshore LT Growth Traditional Taxable
PRIMECAP Odyssey Aggressive Growth,0.0800,AlTi Onshore LT Growth Traditional Taxable
Vanguard Interm-Term Treasury Adm,0.0500,AlTi Onshore LT Growth Traditional Taxable
Vanguard Interm-Term Tx-Ex Adm,0.0800,AlTi Onshore LT Growth Traditional Taxable
AlTi Onshore - Private Credit Composite,0.0700,AlTi Onshore LT Growth Traditional Taxable + 1099
Artisan International Value Advisor,0.1550,AlTi Onshore LT Growth Traditional Taxable + 1099
Brookfield Infrastructure Income Fund Inc.,0.0300,AlTi Onshore LT Growth Traditional Taxable + 1099
Fidelity Inv MM Treasury Instl,0.0500,AlTi Onshore LT Growth Traditional Taxable + 1099
FT Energy Income Partners Strategy ETF,0.0500,AlTi Onshore LT Growth Traditional Taxable + 1099
GQG Partners Emerging Markets EquityInst,0.0650,AlTi Onshore LT Growth Traditional Taxable + 1099
GQG Partners Global Quality Equity Instl,0.1150,AlTi Onshore LT Growth Traditional Taxable + 1099
iShares Core S&P Total US Stock Mkt ETF,0.3350,AlTi Onshore LT Growth Traditional Taxable + 1099
PRIMECAP Odyssey Aggressive Growth,0.0800,AlTi Onshore LT Growth Traditional Taxable + 1099
Vanguard Interm-Term Tx-Ex Adm,0.0500,AlTi Onshore LT Growth Traditional Taxable + 1099
Artisan International Value Advisor,0.1550,AlTi Onshore LT Growth Traditional Tax-Exempt
Fidelity Inv MM Treasury Instl,0.0400,AlTi Onshore LT Growth Traditional Tax-Exempt
FT Energy Income Partners Strategy ETF,0.0500,AlTi Onshore LT Growth Traditional Tax-Exempt
GQG Partners Emerging Markets EquityInst,0.0650,AlTi Onshore LT Growth Traditional Tax-Exempt
GQG Partners Global Quality Equity Instl,0.1150,AlTi Onshore LT Growth Traditional Tax-Exempt
iShares Core S&P Total US Stock Mkt ETF,0.3350,AlTi Onshore LT Growth Traditional Tax-Exempt
PIMCO Income Instl,0.0200,AlTi Onshore LT Growth Traditional Tax-Exempt
PRIMECAP Odyssey Aggressive Growth,0.0800,AlTi Onshore LT Growth Traditional Tax-Exempt
Vanguard Interm-Term Treasury Adm,0.0600,AlTi Onshore LT Growth Traditional Tax-Exempt
Vanguard Total Bond Market Index I,0.0800,AlTi Onshore LT Growth Traditional Tax-Exempt
AlTi Onshore - PE Composite,0.1200,AlTi Onshore Moderate Growth Endowment I Taxable
AlTi Onshore - Private Credit Composite,0.0400,AlTi Onshore Moderate Growth Endowment I Taxable
AlTi Onshore - Real Estate Composite,0.0400,AlTi Onshore Moderate Growth Endowment I Taxable
Artisan International Value Advisor,0.0650,AlTi Onshore Moderate Growth Endowment I Taxable
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore Moderate Growth Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore Moderate Growth Endowment I Taxable
Energy Infrastructure & Utility Fund QP Perf,0.0250,AlTi Onshore Moderate Growth Endowment I Taxable
Fidelity Inv MM Treasury Instl,0.0100,AlTi Onshore Moderate Growth Endowment I Taxable
Global Alpha Fund Perf,0.1150,AlTi Onshore Moderate Growth Endowment I Taxable
GQG Partners Emerging Markets EquityInst,0.0400,AlTi Onshore Moderate Growth Endowment I Taxable
Hybrid Equity Fund Composite,0.0300,AlTi Onshore Moderate Growth Endowment I Taxable
Multi-Strategy Fund Perf,0.0800,AlTi Onshore Moderate Growth Endowment I Taxable
Municipal High Income Fund,0.0300,AlTi Onshore Moderate Growth Endowment I Taxable
Parametric TL Harvesting - S&P 1500,0.2050,AlTi Onshore Moderate Growth Endowment I Taxable
PIMCO Municipal Ladder Composite,0.1300,AlTi Onshore Moderate Growth Endowment I Taxable
Vanguard Interm-Term Treasury Adm,0.0200,AlTi Onshore Moderate Growth Endowment I Taxable
AlTi Onshore - PE Composite,0.1500,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
AlTi Onshore - Private Credit Composite,0.0500,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
AlTi Onshore - Real Estate Composite,0.0400,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
Artisan International Value Advisor,0.0850,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
Fidelity Inv MM Treasury Instl,0.0100,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
FT Energy Income Partners Strategy ETF,0.0300,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
GQG Partners Emerging Markets EquityInst,0.0350,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
GQG Partners Global Quality Equity Instl,0.0650,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
iShares 0-5 Year TIPS Bond ETF,0.0300,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
iShares Core S&P Total US Stock Mkt ETF,0.1900,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
Multi-Strategy Fund Perf,0.1000,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
PRIMECAP Odyssey Aggressive Growth,0.0450,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
Vanguard Total Bond Market Index I,0.1200,AlTi Onshore Moderate Growth Endowment I Tax-Exempt
AlTi Onshore - Impact PE Composite,0.1500,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Avanath Affordable Housing Renaissance Fund LP,0.0400,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0400,AlTi Onshore Moderate Growth Impact Endowment I Taxable
BTG Timber OEF Proforma,0.0400,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Fidelity Inv MM Treasury Instl,0.0250,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Fundsmith Sustainable Equity Fund (IWEF),0.0550,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Greenbacker GREC-2,0.0400,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Impact World Equity Fund Perf,0.0550,AlTi Onshore Moderate Growth Impact Endowment I Taxable
iShares Paris-Algnd Clmt Optd MSCIUSAETF,0.0400,AlTi Onshore Moderate Growth Impact Endowment I Taxable
iSharesParis-AlgndClmOptdMSCIWldexUSAETF,0.0250,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Matthews Emerging Markets Sust Fut Inst,0.0300,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Parametric TL U.S. 1500 ESG Screened,0.1100,AlTi Onshore Moderate Growth Impact Endowment I Taxable
PIMCO Municipal Social Advancement,0.2150,AlTi Onshore Moderate Growth Impact Endowment I Taxable
ValueAct Capital Partners II LP,0.0500,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Vanguard Global ESG Select Stk Admiral,0.0850,AlTi Onshore Moderate Growth Impact Endowment I Taxable
Brookfield Infrastructure Income Fund Inc.,0.0500,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
BTG Timber OEF Proforma,0.0500,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
Fidelity Inv MM Treasury Instl,0.0250,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
Fundsmith Sustainable Equity Fund (IWEF),0.0700,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
Greenbacker GREC-2,0.0500,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
Impact World Equity Fund Perf,0.0800,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
iShares Paris-Algnd Clmt Optd MSCIUSAETF,0.0600,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
iSharesParis-AlgndClmOptdMSCIWldexUSAETF,0.0350,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
Matthews Emerging Markets Sust Fut Inst,0.0450,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
Parametric TL U.S. 1500 ESG Screened,0.1400,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
PIMCO Municipal Social Advancement,0.2250,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
ValueAct Capital Partners II LP,0.0600,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
Vanguard Global ESG Select Stk Admiral,0.1100,AlTi Onshore Moderate Growth Impact Taxable No Illiquids
AlTi Onshore - Private Credit Composite,0.0550,AlTi Onshore Moderate Growth Quasi-Endowment
Artisan International Value Advisor,0.0850,AlTi Onshore Moderate Growth Quasi-Endowment
Blackstone Infrastructure Strategies (BXINFRA),0.0250,AlTi Onshore Moderate Growth Quasi-Endowment
Brookfield Infrastructure Income Fund Inc.,0.0250,AlTi Onshore Moderate Growth Quasi-Endowment
Energy Infrastructure & Utility Fund QP Perf,0.0350,AlTi Onshore Moderate Growth Quasi-Endowment
Fidelity Inv MM Treasury Instl,0.0100,AlTi Onshore Moderate Growth Quasi-Endowment
Global Alpha Fund Perf,0.1450,AlTi Onshore Moderate Growth Quasi-Endowment
GQG Partners Emerging Markets EquityInst,0.0500,AlTi Onshore Moderate Growth Quasi-Endowment
Multi-Strategy Fund Perf,0.1000,AlTi Onshore Moderate Growth Quasi-Endowment
Municipal High Income Fund,0.0350,AlTi Onshore Moderate Growth Quasi-Endowment
Parametric TL Harvesting - S&P 1500,0.2850,AlTi Onshore Moderate Growth Quasi-Endowment
PIMCO Municipal Ladder Composite,0.1300,AlTi Onshore Moderate Growth Quasi-Endowment
Vanguard Interm-Term Treasury Adm,0.0200,AlTi Onshore Moderate Growth Quasi-Endowment
Artisan International Value Advisor,0.1150,AlTi Onshore Moderate Growth Traditional Taxable
Fidelity Inv MM Treasury Instl,0.0500,AlTi Onshore Moderate Growth Traditional Taxable
FT Energy Income Partners Strategy ETF,0.0400,AlTi Onshore Moderate Growth Traditional Taxable
GQG Partners Emerging Markets EquityInst,0.0500,AlTi Onshore Moderate Growth Traditional Taxable
GQG Partners Global Quality Equity Instl,0.0850,AlTi Onshore Moderate Growth Traditional Taxable
iShares Core S&P Total US Stock Mkt ETF,0.2500,AlTi Onshore Moderate Growth Traditional Taxable
iShares Gold Trust,0.0500,AlTi Onshore Moderate Growth Traditional Taxable
PIMCO Income Instl,0.0350,AlTi Onshore Moderate Growth Traditional Taxable
PRIMECAP Odyssey Aggressive Growth,0.0600,AlTi Onshore Moderate Growth Traditional Taxable
Vanguard Interm-Term Treasury Adm,0.0450,AlTi Onshore Moderate Growth Traditional Taxable
Vanguard Interm-Term Tx-Ex Adm,0.2200,AlTi Onshore Moderate Growth Traditional Taxable
AlTi Onshore - Private Credit Composite,0.0700,AlTi Onshore Moderate Growth Traditional Taxable + 1099
Artisan International Value Advisor,0.1150,AlTi Onshore Moderate Growth Traditional Taxable + 1099
Brookfield Infrastructure Income Fund Inc.,0.0300,AlTi Onshore Moderate Growth Traditional Taxable + 1099
Fidelity Inv MM Treasury Instl,0.0500,AlTi Onshore Moderate Growth Traditional Taxable + 1099
FT Energy Income Partners Strategy ETF,0.0400,AlTi Onshore Moderate Growth Traditional Taxable + 1099
GQG Partners Emerging Markets EquityInst,0.0500,AlTi Onshore Moderate Growth Traditional Taxable + 1099
GQG Partners Global Quality Equity Instl,0.0850,AlTi Onshore Moderate Growth Traditional Taxable + 1099
iShares Core S&P Total US Stock Mkt ETF,0.2500,AlTi Onshore Moderate Growth Traditional Taxable + 1099
iShares Gold Trust,0.0300,AlTi Onshore Moderate Growth Traditional Taxable + 1099
