Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
iShares iBoxx $ Invmt Grade Corp Bd ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares Intermediate Govt/Crdt Bd ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares JP Morgan $ EM Bd ETF CHF H Acc,Swiss Franc,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,-,-
iShares JP Morgan $ EM Bd ETF EUR H Acc,Euro,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_EUR,-
iShares JP Morgan $ EM Bd ETF GBP H Dist,Pound Sterling,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_GBP,-
iShares JP Morgan $ EM Bd ETF HCHF Acc,Swiss Franc,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,-,-
iShares JP Morgan $ EM Bd ETF HEUR Acc,Euro,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_EUR,-
iShares JP Morgan $ EM Bd ETF HGBP Acc,Pound Sterling,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_GBP,-
iShares JP Morgan $ EM Bd ETF USD Acc,Swiss Franc,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,-,-
iShares JP Morgan EM Local Ccy Bd ETF,US Dollar,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_EM Debt,-
iShares JP Morgan USD Em Mkts Bd ETF,US Dollar,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_EM Debt,-
iShares JPX-Nikkei 400 ETF,US Dollar,Growth,Growth Strategies,Equity,Japan,Japan,P_Japan,-
iShares Latin America 40 ETF,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
iShares Micro-Cap ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares MSCI ACWI ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI ACWI ex US ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI All Country Asia ex Jpn ETF,US Dollar,Growth,Growth Strategies,Equity,Asia Pacific ex Japan,Asia Pacific Ex Japan,P_Asia Pacific ex Japan,-
iShares MSCI EAFE ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI EAFE Growth ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI EAFE Value ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI EM Asia ETF USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
iShares MSCI Emerging Markets ETF,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
iShares MSCI Japan ETF,US Dollar,Growth,Growth Strategies,Equity,Japan,Japan,P_Japan,-
iShares MSCI Pacific ex Japan ETF,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
iShares MSCI USA ESG Enh CTB ETF USD Acc,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares MSCI USA ESG Enh CTB ETF USDDist,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares MSCI USA Quality Factor ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares MSCI Wld ESG Enh CTB ETF USD Acc,Euro,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_EUR,-
iShares MSCI Wld ESG Enh CTB ETF USDDist,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI World ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI World ETF USD Dist,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares MSCI World EUR Hedged ETF Acc,Euro,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_EUR,-
iShares National Muni Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Municipal Bonds,US Munis,P_US Municipal,-
iShares Paris-Algnd Clmt Optd MSCIUSAETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Physical Gold ETC,US Dollar,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Gold,-
iShares Physical Silver ETC,US Dollar,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Commodity,-
iShares Preferred&Income Securities ETF,US Dollar,Diversified,Income Strategies,Hybrid Credit,Preferred Securities,Other Credit,-,-
iShares Russell 1000 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell 1000 Growth ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell 1000 Value ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell 2000 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell 2000 Growth ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell 2000 Value ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell 2500 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell 3000 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Russell Small/Mid-Cap Idx Instl,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares S&P 500 Growth ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares S&P 500 Paris-Algnd Clmt ETF$Acc,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares S&P 500 Value ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares S&P Mid-Cap 400 Growth ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares S&P Mid-Cap 400 Value ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares S&P Small-Cap 600 Growth ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares S&P Small-Cap 600 Value ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Select Dividend ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Short Treasury Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares TIPS Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares UK Gilts 0-5yr ETF GBP Acc,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_GBP,-
iShares US Aggregate Bond ETF USD Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares US Basic Materials ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Consumer Discretionary ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Consumer Staples ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Energy ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Financial Services ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Financials ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Healthcare ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Industrials ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Infrastructure ETF,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Listed Infrastructure,Global Equities,P_Listed Infrastructure,-
iShares US Real Estate ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Technology ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Telecommunications ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares US Treasury Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares US Utilities ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares® Gold Trust Micro,US Dollar,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Gold,-
iSharesParis-AlgndClmOptdMSCIWldexUSAETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
ITE Rail Fund LP,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Unlisted Infrastructure,Real Estate,P_Private Infrastructure,-
Jain Global Onshore Fund LP,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Janus Henderson Global Sust Eq I,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Janus Henderson Global Sust Eq I Acc,Pound Sterling,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_GBP,-
Janus Henderson Hrzn Glb HY Bd H2 EURH,Euro,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_EUR,-
Janus Henderson Hrzn Glb HY Bd H2 GBPH,Pound Sterling,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_GBP,-
Janus Henderson Hrzn Glb HY Bd H2 HCHF,Swiss Franc,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,-,-
Janus Henderson Hrzn Glb HY Bd H3q EURH,Euro,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_EUR,-
Janus Henderson Hrzn Glb HY Bd I2 HEUR,Euro,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_EUR,-
Janus Henderson Hrzn Glb HY Bd I2 USD,US Dollar,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_High Yield,-
Jupiter Dynamic Bd D $ Hsc Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Jupiter Dynamic Bd I $ Hsc Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
King Street Side Pocket,US Dollar,-,-,-,-,-,-,-
Kirkoswald Glbl Mac UCITS USD Instl Fdr,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
Kirkoswald Global Macro Class F,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
Kirkoswald Global Macro Fund,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
L&G Multi-Strategy Enhanced Cmdts ETF,US Dollar,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Gold,-
LBMA Gold Price AM USD,US Dollar,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Gold,-
Leadenhall UCITS ILS A USD Acc,US Dollar,Diversified,Income Strategies,Alternative Credit,Specialist Finance,Other Credit,P_Private Debt,-
Leadenhall UCITS ILS Fund EUR,Euro,Diversified,Income Strategies,Alternative Credit,Specialist Finance,Other Credit,P_Alternative Credit_EUR,-
LibreMax Value Partners LP,US Dollar,-,-,-,-,-,-,-
Life Cycle Global Share (P Rutter Track Record),US Dollar,-,-,-,-,-,-,-
Marcho Long Fund,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Markit iBoxx ALBI TR USD,US Dollar,-,-,-,-,-,-,-
Marshall Wace Global Opportunities Class B USD,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Matthews Emerging Markets Sust Fut Inst,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
Montanaro Better World GBP Dis,Pound Sterling,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_GBP,-
Morningstar US HY Bd TR Hdg CHF,Swiss Franc,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,-,-
Morningstar US TIPS TR Hdg CHF,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,-,-
Morningstar US TIPS TR Hdg EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_EUR,-
Morningstar USD 1M Cash TR USD,US Dollar,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_US Cash,-
MSCI AC Asia Ex Japan NR USD,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
MSCI AC Asia Pac Ex JPN NR EUR,Euro,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_Equity_EUR,-
MSCI ACWI NR USD,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
MSCI EM NR USD,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
MSCI Europe NR EUR,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
MSCI Japan NR USD,US Dollar,Growth,Growth Strategies,Equity,Japan,Japan,P_Japan,-
MSCI World NR EUR,Euro,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_EUR,-
MSCI World Small Cap NR USD,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Multi-Strategy Fund Perf,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Multi-Strategy Fund QP LP Holdings,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Municipal High Income Fund,US Dollar,Diversified,Income Strategies,Credit,High Yield Municipal Bonds,High Yield,P_HY Muni Bond,-
Municipal High Income Fund Proforma,US Dollar,Diversified,Income Strategies,Credit,High Yield Municipal Bonds,High Yield,P_HY Muni Bond,-
Neuberger Berman GlSr FlRt Inc USD I Acc,US Dollar,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_High Yield,-
Nordea 1 - European Covered Bond AI EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
Nordea 1 - European Covered Bond BC EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
Nordea 1 - European Covered Bond BP EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
Nordea 1 - Low Dur Eurp Cov Bd BI EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Investment Grade Bonds_EUR,-
Nordea 1 - Low Dur Eurp Cov Bd HBI CHF,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,-,-
Nuveen Core Impact Bond R6,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Nuveen Municipal Value,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Municipal Bonds,US Munis,P_US Municipal,-
Olympus Peak,US Dollar,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Credit Direc HF,-
Olympus Peak Trade Claims,US Dollar,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Credit Direc HF,-
OrbiMed Partners Ltd Class D,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
Ownership Capital (IWEF),US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Pac Nrth of Sth Glb EM Eq Z EUR Acc,Euro,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_Equity_EUR,-
Pac Nrth of Sth Glb EM Eq Z GBP Acc,Pound Sterling,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_Equity_GBP,-
Pac Nrth of Sth Glb EM Eq Z USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
Pacer US Cash Cows 100 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Pacific North of South EM All Cp EqI$Acc,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
Pacific NoS EM & GAM composite,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
Parametric TL Harvesting - S&P 1500,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Parametric TL U.S. 1500 ESG Screened,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
PIMCO GIS Income Institutional USD Acc,US Dollar,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Global Aggregate,-
PIMCO GIS Income Institutional USD Inc,US Dollar,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Global Aggregate,-
PIMCO GIS Income Instl CHFH Acc,Swiss Franc,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,-,-
PIMCO GIS Income Instl EURH Acc,Euro,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Credit_EUR,-
PIMCO GIS Income Instl EURH Inc,Euro,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Credit_EUR,-
PIMCO GIS Income Instl GBP H Acc,Pound Sterling,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Credit_GBP,-
PIMCO GIS Income Instl GBPH Inc,Pound Sterling,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Credit_GBP,-
PIMCO GIS Income Investor EUR Hedged Acc,Euro,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Credit_EUR,-
PIMCO Income Instl,US Dollar,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Global Aggregate,-
PIMCO Municipal Ladder Composite,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Municipal Bonds,US Munis,P_US Municipal,-
PIMCO Municipal Social Advancement,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Municipal Bonds,US Munis,P_US Municipal,-
PIMCO Municipal Value Composite,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Municipal Bonds,US Munis,P_US Municipal,-
PitchBook -  Growth (Benchmark),US Dollar,-,-,-,-,-,-,-
PitchBook - Buyout (Benchmark),US Dollar,-,-,-,-,-,-,-
PitchBook - Distressed Debt (Benchmark),US Dollar,-,-,-,-,-,-,-
PitchBook - Infrastructure (Benchmark),US Dollar,-,-,-,-,-,-,-
PitchBook - Infrastructure (Benchmark) (w vehicle cost),US Dollar,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark),US Dollar,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) (Composite),US Dollar,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) (Monthly),US Dollar,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) (Monthly) - CHF,Swiss Franc,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) (Monthly) - EUR,Euro,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) (Monthly) - GBP,Pound Sterling,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) (w vehicle cost),US Dollar,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) H CHF,Swiss Franc,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) H EUR,Euro,-,-,-,-,-,-,-
PitchBook - Private Debt (Benchmark) H GBP,Pound Sterling,-,-,-,-,-,-,-
PitchBook - Private Equity (Benchmark),US Dollar,-,-,-,-,-,-,-
PitchBook - Private Equity (Benchmark) (w vehicle cost),US Dollar,-,-,-,-,-,-,-
PitchBook - Private Equity Index (Composite with MSCI),US Dollar,-,-,-,-,-,-,-
PitchBook - Real Estate (Benchmark),US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
PitchBook - Venture Capital (Benchmark),US Dollar,-,-,-,-,-,-,-
Plurima Apuano Flexible Bond A Instl Pre,Euro,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Credit_EUR,-
Point72 Capital International,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Point72 Capital International Ltd,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Polen Capital Focus US Gr EUR D InstlUnH,Euro,Growth,Growth Strategies,Equity,North America,North America Equities,P_Equity_EUR,-
Polen Capital Focus US Gr GBP,Pound Sterling,Growth,Growth Strategies,Equity,North America,North America Equities,P_Equity_GBP,-
Polen Capital Focus US Gr GBP Instlunhdg,Pound Sterling,Growth,Growth Strategies,Equity,North America,North America Equities,P_Equity_GBP,-
Polen Capital Focus US Gr USD D InstlUnH,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Polen Capital Focus US Gr USD Instl,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Positive Engagement - Holdings Analysis,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Positive Engagement ICAV,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Positive Engagement Strategy,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Positive Engagement Strategy & ICAV Composite,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Premia China Treasury and Policy Bank Bond Long Duration ETF USD Hedged,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
PRIMECAP Odyssey Aggressive Growth,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
RA Capital Healthcare,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
Robeco Credit Income D3 USD Dist,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Global Corporate,-
Robeco Credit Income I USD Cap,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Global Corporate,-
Rubrics Global Credit UCITS B EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
Ruffer Total Return Intl C USD Cap,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Total Return Funds,Absolute Return Funds,P_Growth Directional HF,-
S&P 500 NR USD,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Schonfeld Fundamental Equity Fund Class B Eligible,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Schonfeld Strategic Partners Fund (SSPF) Class E Eligible,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Schroder GAIA WellingtonPagosa C AccEURH,Euro,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_EUR,-
Schroder ISF EURO Corp Bd C Acc CHF H,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,-,-
Schroder ISF EURO Corp Bd C Acc EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Investment Grade Bonds_EUR,-
SHILLER US SECTOR INDEX SC E USD ACC,US Dollar,-,-,-,-,-,-,-
Smithson,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Soroban Opportunities Master Fund LP,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
SPDR S&P 400 US Mid Cap ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
SPDR® Blmbg Convert Secs ETF,US Dollar,Diversified,Income Strategies,Hybrid Credit,Contingent Convertibles,Other Credit,-,-
SPDR® Dow Jones® Global Real Estate ETF,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Listed Real Estate,Real Estate,P_Global REITs,-
SPDR® Global Dow ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
SPDR® Gold Shares,US Dollar,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Gold,-
SPDR® MSCI Europe Consumer Staples ETF,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
SPDR® MSCI World Small Cap ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
SPDR® Portfolio Mortgage Backed Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Asset Backed Securities,US IG / Gbl IG,P_MBS,-
SPDR® S&P 500® ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
SPDR® S&P MIDCAP 400 ETF Trust,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Sprott Physical Uranium Trust Units,Canadian Dollar,Diversified,Inflation Protection Strategies,Commodities,General Commodities,Commodities,-,-
Stability - Global Aggregate Bonds,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Stability - Global Government Bonds,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
Stability - IG Municipal Bonds,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Municipal Bonds,US Munis,P_US Municipal,-
Stability - Investment Grade Bonds,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Stability - Money Market,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
Stability - Short term Debt,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
Stability - US Aggregate Bonds,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Stability - US Government Bonds,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
