Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
FTSE 100 NR GBP,Pound Sterling,Growth,Growth Strategies,Equity,UK,Pan Europe,P_Equity_GBP,-
FTSE CHF EuroDep 3 Mon CHF,Swiss Franc,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,-,-
FTSE EPRA Nareit Developed NR EUR,Euro,Growth,Growth Strategies,Alternative Growth,REITs,Global REITs,P_Alternative Growth_EUR,-
FTSE EPRA Nareit Developed TR USD,US Dollar,Growth,Growth Strategies,Alternative Growth,REITs,Global REITs,P_Global REITs,-
FTSE EPRA Nareit Global REITs NR USD,US Dollar,Growth,Growth Strategies,Alternative Growth,REITs,Global REITs,P_Global REITs,-
FTSE EUR EuroDep 3 Mon EUR,Euro,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_Cash & Cash Equivalents_EUR,-
FTSE GBP EuroDep 3 Mon GBP,Pound Sterling,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_Cash & Cash Equivalents_GBP,-
FTSE USD EuroDep 3 Mon USD,US Dollar,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_US Cash,-
Fundsmith Equity I Acc,Pound Sterling,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_GBP,-
Fundsmith Equity I CHF Acc,Swiss Franc,Growth,Growth Strategies,Equity,Global,Global Equities,-,-
Fundsmith Equity I EUR Acc,Euro,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_EUR,-
Fundsmith Equity I EUR Inc,Euro,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_EUR,-
Fundsmith Equity I GBP Acc,Pound Sterling,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_GBP,-
Fundsmith Equity I GBP Inc,Pound Sterling,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_GBP,-
Fundsmith Equity I USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Fundsmith Equity R EUR Acc,Euro,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_EUR,-
Fundsmith Equity T USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Fundsmith Stewardship Fund I Acc,Pound Sterling,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_GBP,-
Fundsmith Sustainable Equity Fund (IWEF),US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
GAMCO Intl SICAV Merger Arbtrg I (USD),US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Generation Global Equity (IWEF),US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Global Alpha Fund LP Holdings,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
